Position	Strand	DS_Coverage_WT1	DS_Coverage_WT2	DS_Coverage_WT3	mC_Coverage_WT1	mC_Coverage_WT2	mC_Coverage_WT3	Mg_Coverage_WT1	Mg_Coverage_WT2	Mg_Coverage_WT3	Tm_Coverage_WT1	Tm_Coverage_WT2	Tm_Coverage_WT3	DS_MethylPercent_WT1	DS_MethylPercent_WT2	DS_MethylPercent_WT3	mC_MethylPercent_WT1	mC_MethylPercent_WT2	mC_MethylPercent_WT3	Mg_MethylPercent_WT1	Mg_MethylPercent_WT2	Mg_MethylPercent_WT3	Tm_MethylPercent_WT1	Tm_MethylPercent_WT2	Tm_MethylPercent_WT3
8628	Plus	36	57	62	28	50	57	41	64	64	36	57	62	0.861	0.789	0.855	0.821428571	0.82	0.842105263	1	0.9531	0.9531	1	1	1
8629	Minus	53	60	64	42	38	55	51	58	62	53	60	64	0.925	0.933	0.922	0.833333333	0.763157895	0.781818182	0.9216	0.9655	0.9677	1	1	0.9583
8760	Plus	36	59	61	24	41	32	42	63	68	36	59	61	0.917	0.847	0.885	0.833333333	0.682926829	0.75	1	0.9683	0.8971	1	1	1
8761	Minus	53	60	62	41	41	52	49	56	60	53	60	62	0.906	0.933	0.968	0.853658537	0.975609756	1	0.9796	0.9464	1	1	1	1
8836	Plus	37	60	63	34	51	57	42	64	68	37	60	63	0.946	0.917	0.968	0.852941176	0.960784314	0.947368421	0.9762	0.9688	0.9706	1	1	0.9783
8837	Minus	51	57	64	37	32	55	51	54	59	51	57	64	0.784	0.684	0.797	0.783783784	0.71875	0.763636364	0.9608	0.9815	0.9661	1	0.96	0.9333
9100	Plus	39	64	61	35	56	52	42	69	63	39	64	61	0.744	0.625	0.623	0.828571429	0.910714286	0.865384615	0.9762	0.9855	0.9365	1	0.98	0.98
9101	Minus	49	57	63	41	41	53	48	54	60	49	57	63	0.939	0.947	0.984	0.975609756	0.926829268	0.981132075	0.9583	1	1	0.9091	0.9615	1
9174	Plus	40	64	61	25	50	50	41	70	61	40	64	61	0.95	0.938	0.951	0.96	0.96	0.88	1	0.9857	0.9672	1	1	1
9175	Minus	48	56	66	36	31	51	47	55	55	48	56	66	0.979	0.982	0.97	0.805555556	0.806451613	0.705882353	0.9574	0.9273	0.9273	1	1	1
9181	Plus	39	64	61	28	58	49	41	70	61	39	64	61	0.949	0.922	0.869	0.928571429	0.879310345	0.87755102	0.9512	0.9857	0.9672	1	1	0.8571
9182	Minus	48	56	66	37	37	59	44	55	57	48	56	66	0.938	0.964	0.955	0.864864865	1	0.966101695	0.9318	0.9818	0.9825	1	1	0.9556
9343	Plus	40	68	58	37	60	52	40	72	57	40	68	58	0.95	0.912	0.914	0.405405405	0.55	0.461538462	1	1	1	1	1	0.8182
9344	Minus	49	55	67	38	41	53	44	53	59	49	55	67	0.796	0.764	0.776	0.815789474	0.804878049	0.886792453	0.9318	0.9434	0.9831	0.9333	0.9583	0.9667
9462	Plus	44	70	60	39	55	45	43	74	60	44	70	60	0.955	0.914	0.9	0.897435897	0.890909091	0.866666667	1	1	0.9667	1	1	1
9463	Minus	51	52	65	37	34	52	47	52	61	51	52	65	0.686	0.769	0.662	0.783783784	0.764705882	0.769230769	0.9787	1	0.9836	0.9444	1	1
9621	Plus	43	73	59	34	60	45	45	75	61	43	73	59	0.814	0.74	0.729	0.941176471	0.95	1	0.9556	0.9467	0.9344	1	0.9796	0.9744
9622	Minus	53	52	66	41	37	52	48	51	65	53	52	66	0.906	0.942	0.939	0.780487805	0.702702703	0.711538462	0.9792	0.9804	0.9538	1	1	1
9648	Plus	43	73	59	35	49	41	47	74	62	43	73	59	0.744	0.74	0.763	0.742857143	0.836734694	0.804878049	0.9574	0.973	0.9839	0.96	1	1
9649	Minus	52	52	66	37	33	54	47	51	67	52	52	66	0.846	0.904	0.803	0.945945946	0.939393939	0.833333333	1	0.9804	0.9254	0.95	1	0.9688
9690	Plus	43	72	58	34	54	46	46	77	58	43	72	58	0.744	0.847	0.862	0.882352941	0.907407407	0.891304348	0.9348	0.9481	0.9655	0.9565	0.9643	1
9691	Minus	53	52	69	48	41	60	49	52	65	53	52	69	0.83	0.942	0.928	0.916666667	0.975609756	0.966666667	1	1	0.9846	1	1	1
9916	Plus	43	70	58	44	70	52	43	76	61	43	70	58	0.837	0.829	0.828	0.931818182	0.9	0.961538462	0.9535	0.9605	0.9344	1	1	0.9756
9917	Minus	53	53	71	39	36	48	47	51	69	53	53	71	0.962	1	1	0.897435897	0.916666667	0.958333333	0.9574	0.9608	0.942	1	1	1
10019	Plus	43	72	60	33	62	51	44	76	61	43	72	60	0.907	0.889	0.95	0.878787879	0.741935484	0.862745098	0.9091	0.9605	0.9508	1	1	1
10020	Minus	53	56	73	43	35	59	50	51	69	53	56	73	0.792	0.75	0.822	0.697674419	0.685714286	0.694915254	0.98	0.9804	1	0.8571	1	1
10076	Plus	44	75	62	36	67	55	44	77	64	44	75	62	0.955	0.96	0.984	0.916666667	0.940298507	0.909090909	0.8864	0.961	0.9844	1	1	1
10077	Minus	52	55	75	40	36	50	50	55	70	52	55	75	0.885	0.945	0.907	0.775	0.777777778	0.64	0.94	1	1	0.9286	0.8235	0.9048
10601	Plus	47	78	63	29	50	44	46	74	52	47	78	63	0.936	0.897	0.937	0.724137931	0.64	0.704545455	1	0.9324	0.9231	1	0.95	0.9444
10602	Minus	55	54	74	42	29	42	51	53	69	55	54	74	0.818	0.796	0.838	0.976190476	0.896551724	0.880952381	0.9608	0.9811	0.9565	1	1	1
11327	Plus	50	75	63	48	70	49	49	76	61	50	75	63	1	0.947	0.889	0.833333333	0.842857143	0.693877551	0.9388	0.9737	0.9344	0.9412	0.9655	0.9091
11328	Minus	57	61	80	46	43	62	52	50	69	57	61	80	0.93	0.934	0.825	0.891304348	0.860465116	0.709677419	0.9615	0.9	0.8986	1	1	0.9677
11494	Plus	49	74	59	41	63	48	45	77	60	49	74	59	0.449	0.595	0.559	0.512195122	0.53968254	0.479166667	0.9556	0.9091	0.8833	1	0.9444	0.963
11495	Minus	58	58	80	51	44	59	55	55	76	58	58	80	0.897	0.948	0.9	0.823529412	0.886363636	0.830508475	1	0.9455	0.9605	1	1	0.9333
11664	Plus	48	73	60	46	61	50	53	78	55	48	73	60	0.917	0.767	0.833	0.891304348	0.885245902	0.94	0.9811	0.9103	1	1	0.9722	1
11665	Minus	60	57	77	41	29	56	54	52	75	60	57	77	0.883	0.86	0.987	0.902439024	0.965517241	0.928571429	0.9815	0.9615	1	1	0.9677	0.9545
12260	Plus	47	73	60	35	48	36	49	77	60	47	73	60	0.957	0.932	0.967	0.971428571	0.979166667	0.916666667	0.9388	0.8961	0.8833	1	0.9846	1
12261	Minus	64	59	71	51	38	52	56	55	66	64	59	71	0.859	0.78	0.789	0.901960784	0.815789474	0.730769231	0.9107	0.8364	0.8636	1	0.8636	0.9474
12871	Plus	50	74	65	40	46	40	55	77	64	50	74	65	0.92	0.905	0.908	0.925	0.826086957	0.975	0.9636	0.987	0.9531	1	1	1
12872	Minus	62	53	74	50	41	54	57	51	69	62	53	74	0.903	0.849	0.811	0.76	0.756097561	0.611111111	0.9649	1	0.9565	1	1	0.9474
12902	Plus	50	73	65	45	64	58	54	74	67	50	73	65	0.98	0.973	0.938	0.911111111	0.890625	0.879310345	1	0.9865	0.9701	1	1	1
12903	Minus	62	53	74	40	27	45	58	49	70	62	53	74	0.532	0.66	0.608	0.725	0.814814815	0.8	0.9655	0.9796	0.9286	1	1	0.95
12926	Plus	51	73	65	29	33	39	54	76	64	51	73	65	0.961	0.877	0.846	1	0.909090909	0.923076923	1	1	1	1	1	0.9783
12927	Minus	62	53	73	50	38	58	59	48	70	62	53	73	0.935	0.925	0.863	0.78	0.710526316	0.775862069	1	0.9792	0.9857	0.9697	1	0.9655
13094	Plus	50	71	63	44	63	55	49	77	63	50	71	63	0.86	0.944	0.921	0.840909091	0.825396825	0.781818182	0.9388	0.974	0.9524	1	1	0.9714
13095	Minus	60	54	74	44	36	55	55	48	70	60	54	74	0.85	0.796	0.878	0.977272727	0.861111111	0.872727273	0.9636	0.9167	0.9571	0.931	0.931	0.9677
13396	Plus	48	71	57	47	61	45	50	73	60	48	71	57	0.958	0.93	0.965	0.829787234	0.93442623	0.888888889	0.98	1	0.9667	1	1	0.9444
13397	Minus	65	53	76	54	41	65	60	49	72	65	53	76	0.954	0.925	0.882	0.814814815	0.756097561	0.723076923	0.9667	0.9592	0.9722	1	0.8462	0.8571
13576	Plus	49	69	64	39	57	56	50	72	58	49	69	64	0.796	0.71	0.812	0.897435897	0.842105263	0.875	0.9	0.9444	0.9655	1	0.9677	1
13577	Minus	63	51	77	48	38	60	57	50	70	63	51	77	0.921	0.922	0.922	0.729166667	0.763157895	0.633333333	0.9649	0.96	0.9571	0.625	0.6667	0.7778
13657	Plus	47	69	60	47	59	48	49	70	58	47	69	60	0.574	0.58	0.633	0.872340426	0.830508475	0.875	0.9592	0.9429	0.9138	1	1	1
13658	Minus	61	51	75	45	35	52	59	50	74	61	51	75	0.377	0.51	0.467	0.866666667	0.714285714	0.75	0.9661	1	0.9189	0.96	1	1
14315	Plus	50	67	61	34	46	38	51	68	61	50	67	61	0.8	0.791	0.803	0.941176471	0.934782609	0.973684211	0.9412	0.9118	0.9672	1	1	1
14316	Minus	61	51	80	46	36	64	55	47	76	61	51	80	0.672	0.471	0.6	0.760869565	0.666666667	0.734375	0.9455	0.8723	0.9737	1	1	1
14367	Plus	49	67	61	43	54	50	51	69	60	49	67	61	0.898	0.896	0.902	0.697674419	0.777777778	0.48	0.9804	0.9855	0.9667	1	1	0.9231
14368	Minus	60	51	77	45	38	58	54	48	76	60	51	77	0.967	0.902	0.961	0.866666667	0.921052632	0.948275862	0.963	1	0.9868	1	1	1
14573	Plus	48	65	60	46	53	47	50	68	61	48	65	60	0.938	0.877	0.85	0.913043478	0.981132075	0.829787234	1	0.9853	0.9672	1	1	1
14574	Minus	56	51	77	34	31	50	55	45	74	56	51	77	0.518	0.392	0.61	0.764705882	0.774193548	0.8	0.9091	0.9778	0.973	0.8421	0.75	0.9286
14744	Plus	50	66	63	38	46	46	48	68	62	50	66	63	0.92	0.97	0.905	1	0.97826087	0.956521739	0.9583	0.9853	0.9032	1	1	1
14745	Minus	56	50	78	48	37	64	54	48	74	56	50	78	1	1	0.987	0.5625	0.594594595	0.65625	1	1	0.9595	1	1	1
14751	Plus	50	66	64	40	42	42	46	65	60	50	66	64	0.88	0.985	0.922	0.9	0.857142857	0.976190476	0.9565	1	0.9	1	1	1
14752	Minus	57	49	77	45	33	61	52	47	71	57	49	77	1	1	0.987	0.866666667	0.787878788	0.770491803	0.9231	0.9362	0.9718	0.9412	0.9231	0.7407
14895	Plus	50	66	63	25	32	43	48	70	60	50	66	63	0.88	0.818	0.905	0.84	0.90625	0.953488372	1	0.9429	0.95	1	1	1
14896	Minus	58	48	78	49	37	63	54	47	71	58	48	78	0.879	0.917	0.885	0.979591837	0.945945946	0.920634921	0.9815	1	0.9718	1	1	1
14972	Plus	49	65	61	43	48	47	48	69	63	49	65	61	0.633	0.554	0.705	0.790697674	0.9375	0.872340426	1	0.942	0.9365	1	1	1
14973	Minus	57	49	75	43	30	57	51	48	73	57	49	75	0.246	0.286	0.347	0.558139535	0.5	0.526315789	0.9804	0.9792	0.9726	1	1	1
15382	Plus	48	68	63	38	54	51	45	65	57	48	68	63	0.833	0.868	0.841	0.736842105	0.814814815	0.705882353	0.9333	0.9538	0.9474	0.9524	0.9706	1
15383	Minus	55	47	72	45	33	57	53	40	59	55	47	72	0.382	0.404	0.361	0.577777778	0.545454545	0.473684211	0.8868	0.875	0.9831	1	0.8667	0.96
15851	Plus	53	69	71	55	66	82	54	69	72	53	69	71	0.698	0.696	0.563	0.636363636	0.803030303	0.756097561	1	0.971	1	1	1	1
15852	Minus	57	46	79	65	41	89	56	40	74	57	46	79	0.86	0.783	0.759	0.892307692	0.829268293	0.876404494	1	0.975	0.9865	1	1	1
16539	Plus	54	65	75	59	68	90	50	64	73	54	65	75	0.833	0.862	0.867	0.86440678	0.852941176	0.822222222	0.96	0.9531	0.9726	0.92	0.9688	1
16540	Minus	59	47	78	62	47	90	57	38	76	59	47	78	1	0.979	0.936	0.725806452	0.765957447	0.677777778	1	0.9474	0.8684	0.9545	0.9412	0.96
16731	Plus	49	64	74	40	46	51	50	64	75	49	64	74	0.959	0.922	0.973	0.75	0.847826087	0.882352941	1	0.9531	1	1	0.8571	0.8421
16732	Minus	59	44	73	38	33	53	56	44	70	59	44	73	0.593	0.568	0.521	0.815789474	0.818181818	0.811320755	0.9286	0.9773	0.9143	1	0.963	0.9773
16869	Plus	50	64	72	28	35	53	50	59	74	50	64	72	0.96	0.891	0.931	0.928571429	0.885714286	0.905660377	0.96	0.9322	0.9595	1	1	1
16870	Minus	57	44	70	46	35	54	54	42	64	57	44	70	0.614	0.636	0.571	0.760869565	0.6	0.777777778	0.9074	1	0.9531	1	1	0.95
17461	Plus	42	67	71	24	42	53	38	63	69	42	67	71	0.714	0.881	0.859	0.916666667	0.904761905	0.849056604	0.9211	0.9841	0.971	1	1	1
17462	Minus	57	46	74	50	39	64	51	36	58	57	46	74	0.947	0.957	0.865	0.5	0.58974359	0.46875	0.8235	0.8889	0.7241	0.8824	0.9091	1
17746	Plus	47	64	68	35	49	56	46	65	63	47	64	68	0.745	0.688	0.706	0.857142857	0.857142857	0.892857143	0.9565	0.9385	0.9683	1	1	1
17747	Minus	57	46	77	30	26	38	54	42	73	57	46	77	0.982	0.87	0.922	0.9	0.923076923	0.947368421	1	0.9524	0.9315	1	0.973	1
17844	Plus	47	63	64	37	52	46	45	63	63	47	63	64	0.979	0.889	0.891	0.837837838	0.846153846	0.804347826	1	0.9841	0.9841	1	0.9767	1
17845	Minus	57	44	78	50	35	64	56	42	74	57	44	78	0.947	0.909	0.91	0.72	0.8	0.8125	0.9821	1	0.9865	1	0.9333	0.8214
17870	Plus	46	63	64	24	45	45	43	65	63	46	63	64	0.935	0.921	0.938	0.625	0.688888889	0.733333333	0.9302	0.9538	0.9841	0.9697	0.9744	1
17871	Minus	57	44	79	44	31	64	54	42	74	57	44	79	0.93	0.932	0.924	0.75	0.806451613	0.796875	0.9815	0.9524	1	0.9762	0.9524	0.9545
17948	Plus	47	64	66	31	56	55	45	61	61	47	64	66	0.894	0.797	0.864	0.806451613	0.660714286	0.672727273	0.8889	0.9016	0.9016	1	0.975	1
17949	Minus	57	44	81	48	37	64	55	40	72	57	44	81	0.439	0.523	0.481	0.875	0.837837838	0.828125	0.9636	1	0.9722	1	0.9286	0.9667
17979	Plus	45	64	66	22	39	38	40	65	66	45	64	66	0.778	0.875	0.864	0.681818182	0.948717949	0.842105263	0.95	0.9538	0.9394	1	0.9756	1
17980	Minus	56	44	79	51	33	68	54	40	75	56	44	79	0.946	0.955	0.975	0.960784314	0.939393939	0.955882353	1	0.95	0.9733	1	1	1
18362	Plus	49	65	66	36	51	57	49	66	61	49	65	66	0.837	0.785	0.818	0.861111111	0.901960784	0.877192982	0.9796	0.9848	1	1	0.9615	0.9722
18363	Minus	55	52	79	49	37	58	52	51	74	55	52	79	0.727	0.808	0.696	0.734693878	0.648648649	0.844827586	0.9615	0.9412	0.9595	1	1	1
18485	Plus	50	67	65	41	54	58	48	66	62	50	67	65	0.62	0.567	0.431	0.853658537	0.796296296	0.793103448	0.9792	0.9848	0.9839	1	0.9688	1
18486	Minus	54	53	75	40	37	62	52	51	68	54	53	75	0.741	0.83	0.76	0.7	0.648648649	0.596774194	0.9423	0.9608	0.9706	0.9677	1	1
18549	Plus	48	69	67	35	47	48	45	66	60	48	69	67	0.938	0.899	0.881	0.857142857	0.914893617	0.958333333	0.9111	0.8788	0.95	1	1	1
18550	Minus	54	53	76	42	38	58	52	51	64	54	53	76	0.778	0.83	0.75	0.761904762	0.710526316	0.603448276	0.9615	1	0.9531	0.5556	0.8	0.8182
19156	Plus	47	70	69	31	48	49	45	67	61	47	70	69	0.723	0.829	0.71	0.838709677	0.833333333	0.857142857	0.9111	0.9104	0.9016	1	1	0.9583
19157	Minus	55	61	70	46	51	59	54	54	65	55	61	70	0.727	0.639	0.657	0.717391304	0.784313725	0.694915254	0.9444	0.9444	0.9692	1	1	1
